FIRST_AUTHOR,PUBLICATION_YEAR,JOURNAL,SAMPLING_GEO,NGS_GEO,SAMPLING_YEAR(S),ZOONOTIC_AGENT,SPECIFIC_VIRUS,AGENT_TYPE,STUDY_AIM_1,STUDY_AIM_2,HUM_SAMPLE_SIZE,ANI_MULTISPECIES,ANI_SAMPLE_SIZE,LIVESTOCK_SAMPLE_SIZE,PET_SAMPLE_SIZE,POULTRY_SAMPLE_SIZE,WILDLIFE_SAMPLE_SIZE,ENV_DOMAIN,ARACHNIDA_SAMPLE_SIZE,INSECTA_SAMPLE_SIZE,BIOTIC-ENV_SAMPLE_SIZE,ABIOTIC_SAMPLE_SIZE,PRE-NGS_CULTURE,PRE-NGS_ANALYSIS,NUCLEIC_ACID,NUCLEIC_ACID_EXT,NUCLEIC_ACID_EXT_TYPE,LIBRARY_PREP_MAIN,NGS_PLATFORM_SHORT_PRIMARY,NGS_PLATFORM_LONG,ASSEMBLY/MAPPING_SOFTWARE,ASSEMBLY_TYPE,ALIGNMENT_SOFTWARE,PHYLO_SOFTWARE,PHYLO_MODEL,PHYLO_RESULTS,RECOMBINATION,PUBLIC_ARCHIVE,PUBLIC_DATA,PUBLIC_CODE
Carpi,2016,bmc_genomics,USA,N/S,2011-2014,Babesia_microti,N/A,protozoa,genomic_diversity_evolution,N/A,11,N/A,0,0,0,0,0,33,33,0,0,0,no,qPCR,DNA,N/S,N/S,Roche_NimbleGenEZ,Illumina_HiSeq,no,N/S,ref_genome,BWA+ClustalW,TCS+MEGA+BEAST,MaxPar+MaxLik+Bayes,temporally-resolved,no,NCBI,raw_reads,no
Carroll,2019,front_microbiol,USA,USA,2016,Bacillus_cereus,N/A,bacterium_gram+,outbreak_epidemiology,N/A,7,N/A,0,0,0,0,0,26,0,0,26,0,yes,genotyping,DNA,Qiagen_DNeasyb&t+Omega_EZNAbac,manual,Illumina_NexteraXT,Illumina_N/S,no,SPAdes,de_novo,BWA,RAxML,MaxLik,relatedness,Gubbins,NCBI,raw_reads,yes
Chen,2017,appl_environ_microbiol,USA,N/S,2012-2014,Listeria_monocytogenes,N/A,bacterium_gram+,outbreak_epidemiology,N/A,7,no,38,38,0,0,0,12,0,0,0,12,N/S,genotyping,DNA,N/S,N/S,N/S,Illumina_MiSeq,PacBio_RSII,SPAdes,ref_genome,CFSAN_pipeline,Bionumerics+GARLI,NeiJo+MaxLik,relatedness,CFSAN_pipeline,NCBI,genome_assemblies,no
Chewapreecha,2017,nature_microbiol,Globe,N/S,1935-2013,Burkholderia_pseudomallei,N/A,bacterium_gram-,genomic_diversity_evolution,N/A,N/S,N/A,0,0,0,0,0,N/S,0,0,N/S,N/S,N/S,N/S,DNA,N/S,N/S,N/S,Illumina_HiSeq,no,Velvet,de_novo,SMALT,FastTree+RAxML+BEAST,MaxLik+Bayes,temporally-resolved,Gubbins,ENA,raw_reads,no
Cui,2013,pnas,Globe,N/S,1922-2006,Yersinia_pestis,N/A,bacterium_gram-,genomic_diversity_evolution,N/A,23,yes,87,2,1,0,84,20,2,18,0,0,N/S,N/S,DNA,N/S,N/S,N/S,Illumina_GAIIx,no,SOAPdenovo,de_novo,SOAPaligner+MUMmer,Bionumerics+PhyML+BEAST,NeiJo+MaxLik+Bayes,temporally-resolved,no,NCBI,raw_reads,no
Dangel,2019,euro_surveill,Germany,N/S,1993-2018,Salmonella_enterica_agona,N/A,bacterium_gram-,outbreak_epidemiology,N/A,20,yes,4,2,0,2,0,27,0,0,27,0,yes,MALDI-TOF-MS,DNA,Promega_MaxwellLEVblood,automated,Illumina_NexteraXT,Illumina_MiSeq,no,BWA,ref_genome,N/S,RAxML,MaxLik,relatedness,no,NCBI,raw_reads,no
de_Been,2014,plos_genet,Netherlands,N/S,2006-2011,Escherichia_coli,N/A,bacterium_gram-,GWAS_pathogenicity_AMR,N/A,17,no,11,0,0,11,0,4,0,0,4,0,N/S,genotyping,DNA,MoBio_UltraCleanMicrobial,automated,N/S,Illumina_HiSeq,PacBio_RSII,SOAPdenovo,de_novo,MUSCLE,RAxML,MaxLik,relatedness,no,NCBI,raw_reads,no
Deng,2015,j_clin_microbiol,USA+Mauritius,USA,2001-2012,Salmonella_enterica_enteritidis,N/A,bacterium_gram-,diagnostics_development_surveillance,N/A,26,yes,19,3,4,12,0,7,0,0,7,0,yes,N/S,DNA,Merck_GenEluteBac,manual,N/S,Illumina_N/S,no,N/S,ref_genome,N/S,MEGA,MaxLik,relatedness,no,NCBI,raw_reads,no
Deng,2021,foodborne_pathog_dis,China,China,2007-2019,Salmonella_enterica_enteritidis,N/A,bacterium_gram-,outbreak_epidemiology,N/A,42,yes,16,0,0,16,0,8,0,0,8,0,N/S,genotyping,DNA,Qiagen_QIAampDNAmini,manual,N/S,BGI_BGISEQ500,no,BWA+Minimap2,ref_genome,Blastn,RAxML,MaxLik,relatedness,Gubbins,NCBI,raw_reads,no
Diagne,2021,viruses,Senegal,N/S,2020,Flavivirus_genus,Yellow_Fever,virus_ssRNA,outbreak_epidemiology,N/A,2,N/A,0,0,0,0,0,18,0,18,0,0,yes,qPCR,RNA,Qiagen_QIAampViralRNAmini,manual,N/S,Illumina_MiSeq,no,EDGE,ref_genome,MAFFT,IQ-TREE,MaxLik,relatedness,no,NCBI,consensus_sequences,no
Donkor,2018,infect_drug_resist,Ghana,N/S,2012-2015,Staphylococcus_aureus,N/A,bacterium_gram+,outbreak_epidemiology,N/A,4,N/A,0,0,0,0,0,13,0,0,0,13,yes,N/S,DNA,Promega_N/S,manual,N/S,Illumina_HiSeq,no,Velvet,de_novo,SMALT,RAxML,MaxLik,relatedness,no,NCBI,raw_reads,no
Du,2017,emerg_infect_dis,China,N/S,1998-2005,Streptococcus_suis,N/A,bacterium_gram+,outbreak_epidemiology,N/A,86,no,8,8,0,0,0,0,0,0,0,0,N/S,N/S,DNA,Promega_WizardPurification,manual,N/S,Illumina_GAIIx,no,SOAP2,ref_genome,N/S,BEAST,Bayes,temporally-resolved,RDP3,NCBI,raw_reads,no
Duranti,2018,j_med_microbiol,Italy,N/S,2015-2016,Listeria_monocytogenes,N/A,bacterium_gram+,outbreak_epidemiology,N/A,35,N/A,0,0,0,0,0,831,0,0,N/S,N/S,yes,genotyping,DNA,N/S,N/S,N/S,Illumina_NextSeq,no,N/S,ref_genome,N/S,kSNP3,NeiJo,relatedness,no,NCBI,genome_assemblies,no
Edirmanasinghe,2017,antimicrob_agents_chemother,Canada,N/S,2011-2012,Salmonella_enterica_heidelberg,N/A,bacterium_gram-,GWAS_pathogenicity_AMR,N/A,51,yes,62,0,0,62,0,0,0,0,0,0,N/S,genotyping,DNA,Lucigen_MasterPureComplete,manual,Illumina_NexteraXT,Illumina_N/S,no,SPAdes,ref_genome,SMALT,PHYLOViZ,MinSpan,genetic_distance,no,no,N/A,no
Eremenko,2021,infect_genet_evol,Russia,N/S,1935-2019,Bacillus_anthracis,N/A,bacterium_gram+,genomic_diversity_evolution,N/A,29,yes,19,17,0,0,2,16,0,1,1,14,yes,qPCR,DNA,Qiagen_QIAampDNAmini,manual,IonTorrent_OT2,IonTorrent_IonPGM,no,Newbler,de_novo,Parsnp,MEGA,MaxLik,relatedness,no,no,N/A,no
Fashae,2018,zoonoses_public_health,Nigeria,N/S,2011-2013,Salmonella_enterica,N/A,bacterium_gram-,GWAS_pathogenicity_AMR,N/A,30,no,55,55,0,0,0,0,0,0,0,0,yes,serotyping,DNA,N/S,N/S,N/S,Illumina_MiSeq,no,Assembler,ref_genome,BWA,FastTree,MaxLik,relatedness,no,ENA,raw_reads,no
Fleshman,2018,microb_genom,SouthEastAsia,N/S,1943-2011,Orientia_tsutsugamushi,N/A,bacterium_gram-,genomic_diversity_evolution,N/A,33,yes,5,0,0,0,5,2,2,0,0,0,yes,N/S,DNA,Qiagen_GentraPuregene,manual,Illumina_TruSeqSBS,Illumina_HiSeq,no,SPAdes,ref_genome,BWA,PAUP+IQ-TREE+BEAST,MaxPar+MaxLik+Bayes,relatedness,ClonalFrameML+Gubbins,NCBI,raw_reads,yes
Ford,2019,emerg_infect_dis,Australia,Australia,2010-2016,Salmonella_enterica,N/A,bacterium_gram-,cross-domain_transmission,N/A,62,yes,42,21,2,0,19,18,0,0,0,18,N/S,N/S,DNA,N/S,N/S,Illumina_NexteraXT,Illumina_NextSeq,no,Snippy,ref_genome,Snippy-core,RAxML,MaxLik,relatedness,Gubbins,NCBI,raw_reads,no
French,2019,emerg_infect_dis,NewZealand,N/S,2014-2016,Campylobacter_jejuni,N/A,bacterium_gram-,GWAS_pathogenicity_AMR,N/A,7,no,34,0,0,34,0,0,0,0,0,0,yes,N/S,DNA,PerkinElmer_chemagic+Merck_GenEluteBac,automated+manual,Illumina_NexteraXT+PacBio_N/S,Illumina_NextSeq,PacBio_RSII,SPAdes,ref_genome,Snippy,SplitsTree+IQ-TREE,NeiJo,relatedness,Gubbins,NCBI,genome_assemblies,no
Furuta,2018,msystems,Zambia,N/S,2011-2016,Bacillus_anthracis,N/A,bacterium_gram+,genomic_diversity_evolution,N/A,1,yes,9,2,0,0,7,4,0,0,0,4,yes,phenotyping,DNA,Qiagen_QIAampPowerFecal,manual,Illumina_NexteraXT+PacBio_SMRTbell+ONT_SQK-RBK001,Illumina_MiSeq,PacBio_RSII+ONT_MinION,Snippy,ref_genome,Parsnp,MEGA,NeiJo,relatedness,no,NCBI,raw_reads,no
Gee,2021,msphere,Brazil,N/S,2003-2015,Burkholderia_pseudomallei,N/A,bacterium_gram-,genomic_diversity_evolution,N/A,25,N/A,0,0,0,0,0,12,0,0,0,12,N/S,N/S,DNA,Roche_HighPure,manual,N/S,Illumina_MiSeq,no,PEAR+SPAdes,N/S,Parsnp,PhyML,MaxLik,relatedness,ClonalFrameML,NCBI,raw_reads,no
Gonzalez-Escaloa,2017,j_clin_microbiol,Globe,N/S,1951-2005,Vibrio_parahaemolyticus,N/A,bacterium_gram-,diagnostics_development_surveillance,N/A,33,N/A,0,0,0,0,0,59,0,0,0,59,yes,N/S,DNA,Qiagen_DNeasyb&t,manual,Illumina_NexteraXT,Illumina_MiSeq,no,CLCgenomics,de_novo,N/S,SplitsTree,NeiJo,relatedness,no,NCBI,raw_reads,no
Gouliouris,2021,nat_microbiol,UK,N/S,2015,Enterococcus_faecium,N/A,bacterium_gram+,cross-domain_transmission,outbreak_epidemiology,127,N/A,0,0,0,0,0,559,0,0,0,559,yes,MALDI-TOF-MS,DNA,Qiagen_QIAampQIAcube,automated,N/S,Illumina_HiSeq,no,SMALT,ref_genome,SAMtools,RAxML,MaxLik,relatedness,Gubbins,ENA,raw_reads,no
Graham,2018,plos_one,Australia,N/S,2004-2017,Salmonella_enterica_enteritidis,N/A,bacterium_gram-,genomic_diversity_evolution,N/A,206,yes,5,1,2,2,0,6,0,0,1,5,yes,N/S,DNA,Qiagen_QIAsymphony,automated,Illumina_NexteraXT,Illumina_NextSeq,no,Snippy,ref_genome,Snippy,RAxML,MaxLik,relatedness,BratNextGen,ENA,raw_reads,no
Guglielmini,2019,plos_negl_trop_dis,Globe,N/S,1970-2018,Leptospira_spp.,N/A,bacterium_gram-,genomic_diversity_evolution,diagnostics_development_surveillance,120,yes,89,52,12,0,25,107,0,0,0,107,yes,serotyping,DNA,Roche_MagNAPure96,automated,Illumina_NexteraXT,Illumina_NextSeq,no,CLCgenomics,ref_genome,MAFFT,IQ-TREE,MaxLik,relatedness,no,NCBI,raw_reads,no
Gymoese,2017,emerg_infect_dis,Denmark,Denmark,2010-2014,Salmonella_enterica_typhimurium,N/A,bacterium_gram-,outbreak_epidemiology,N/A,292,N/S,40,N/S,N/S,N/S,N/S,40,0,0,40,0,yes,genotyping,DNA,Qiagen_DNeasyb&t+Invitrogen_Easy,manual,Illumina_NexteraXT,Illumina_MiSeq,no,CLCgenomics,de_novo,BWA,Bionumerics,MaxPar,relatedness,yes,ENA,raw_reads,no
Harrison,2013,embo_mol_med,UK,N/S,N/S,Staphylococcus_aureus,N/A,bacterium_gram+,cross-domain_transmission,N/A,2,yes,4,4,0,0,0,0,0,0,0,0,yes,N/S,DNA,Lucigen_MasterPureGram+,manual,N/S,Illumina_HiSeq,no,SMALT,ref_genome,N/S,RAxML,MaxLik,relatedness,no,NCBI,raw_reads,no
Hassan,2021,nat_microbiol,Pakistan,N/S,2016,Enterobacteriaceae_family,N/A,bacterium_gram-,cross-domain_transmission,N/A,104,N/A,0,0,0,0,0,231,175,0,0,56,yes,PCR+MALDI-TOF-MS,DNA,Qiagen_QIAampDNAmini+Qiagen_QIAampQIAcube,automated,Illumina_NexteraXT,Illumina_MiSeq,no,SPAdes,N/S,Roary,FastTree,MaxLik,relatedness,no,ENA,raw_reads,no
Hodgeman,2021,bmc_microbiol,Australia,N/S,1984-2019,Mycobacterium_avium_paratubercolosis,N/A,bacterium_gram+,genomic_diversity_evolution,diagnostics_development_surveillance,2,yes,126,124,0,1,1,0,0,0,0,0,yes,PCR,DNA,Promega_WizardPurification,manual,Illumina_NexteraFlex,Illumina_MiSeq,no,N/S,ref_genome,Bowtie2,RAxML,MaxLik,relatedness,no,NCBI,raw_reads,no
Hoffmann,2016,j_infect_dis,Globe,N/S,1968-2012,Salmonella_enterica_bareilly,N/A,bacterium_gram-,outbreak_epidemiology,N/A,30,yes,41,38,0,3,0,26,0,0,23,3,yes,genotyping,DNA,Qiagen_DNeasyb&t,manual,Illumina_NexteraXT+PacBio_N/S,Illumina_MiSeq,PacBio_RSII,CLCgenomics+Newbler,de_novo,NovoAlign+MUSCLE,GARLI,MaxLik,relatedness,no,NCBI,raw_reads,no
Hsu,2011,front_microbiol,N/S,USA,N/S,Mycobacterium_avium,N/A,bacterium_gram+,genomic_diversity_evolution,N/A,1,yes,4,2,0,0,2,2,0,0,0,2,yes,genotyping,DNA,N/S,N/S,N/S,Illumina_GAIIx,no,CLCgenomics,de_novo,Mauve+ClustalW,MEGA,NeiJo,relatedness,no,NCBI,raw_reads,no
Huang,2021,plos_negl_trop_dis,China,China,2018-2019,Coxiella_burnetii,N/A,bacterium_gram-,cross-domain_transmission,N/A,55,yes,32,32,0,0,0,0,0,0,0,0,no,serology+qPCR,DNA,Qiagen_DNeasyb&t+Tiangen_TIANamp,manual,MGI_DNAprep,BGI_BGISEQ50,no,BWA,ref_genome,MUMmer,MEGA,MaxLik,relatedness,no,no,N/A,no
Hudson,2021,microorganisms,USA,USA,2002-2021,Campylobacter_spp.,N/A,bacterium_gram-,outbreak_epidemiology,cross-domain_transmission,1074,yes,2004,760,2,1244,0,0,0,0,0,0,N/S,N/S,DNA,Qiagen_DNeasyb&t,manual,Illumina_NexteraXT,Illumina_MiSeq,no,SPAdes,N/S,N/S,MEGA,NeiJo,relatedness,no,NCBI,raw_reads,no
Jacob,2019,euro_surveill,Germany,N/S,2016,Francisella_tularensis_holartica,N/A,bacterium_gram-,outbreak_epidemiology,N/A,1,N/A,0,0,0,0,0,2,0,0,2,0,yes,PCR,DNA,MoBio_PowerSoil+Qiagen_DNeasyb&t,manual,Illumina_NexteraXT,Illumina_MiSeq,no,Qcumber,N/S,Mauve,Geneious,NeiJo,relatedness,no,NCBI,raw_reads,no
Jaleta,2017,plos_negl_trop_dis,Cambodia,N/S,2013-2016,Strongyloides_stercoralis,N/A,nematoda,cross-domain_transmission,N/A,9,no,9,0,9,0,0,0,0,0,0,0,yes,PCR,DNA,Lucigen_MasterPureComplete,manual,Takara_LowInput,Illumina_HiSeq,no,BWA,ref_genome,N/S,ApE,NeiJo,relatedness,no,ENA+NCBI,raw_reads,no
Jiang,2022,front_microbiol,China,China,2017-2019,Salmonella_enterica_enteritidis,N/A,bacterium_gram-,outbreak_epidemiology,N/A,58,N/A,0,0,0,0,0,8,0,0,4,4,yes,qPCR+serology,DNA,Qiagen_QIAampDNAmini,manual,N/S,BGI_MGISEQ2000,no,Snippy,N/S,Snippy,IQ-TREE,MaxLik,relatedness,Gubbins,NCBI,raw_reads,no
Johnson,2016,open_forum_infect_dis,USA,N/S,2007-2014,Escherichia_coli,N/A,bacterium_gram-,cross-domain_transmission,N/A,16,yes,4,0,4,0,0,0,0,0,0,0,N/S,PCR+genotyping,DNA,N/S,N/S,N/S,Illumina_MiSeq,no,BWA,ref_genome,BWA,MEGA,MaxLik,relatedness,Gubbins,no,N/A,no
Jovcic,2022,foodborne_pathog_dis,Serbia,UK,N/S,Salmonella_enterica_kentucky,N/A,bacterium_gram-,cross-domain_transmission,N/A,5,no,2,0,0,2,0,0,0,0,0,0,yes,serotyping,DNA,N/S,N/S,N/S,Illumina_HiSeq,no,BWA,N/S,N/S,CSIphylogeny,N/S,relatedness,no,NCBI,genome_assemblies,no
Kaiser,2018,am_j_infect_control,Germany,N/S,2010-2013,Klebsiella_pneumoniae,N/A,bacterium_gram-,outbreak_epidemiology,N/A,113,N/A,0,0,0,0,0,5,0,0,0,5,yes,PCR,DNA,Qiagen_GentraPuregene+Qiagen_DNeasyb&t,manual,N/S,Roche_454,PacBio_RSII,Newbler+BWA,N/S,N/S,BEAST,Bayes,relatedness,no,ENA,raw_reads,no
Kanagarajah,2018,food_microbiol,UK,N/S,2012-2015,Salmonella_enterica_enteritidis,N/A,bacterium_gram-,outbreak_epidemiology,N/A,148,yes,18,0,18,0,0,0,0,0,0,0,N/S,N/S,DNA,N/S,N/S,N/S,Illumina_HiSeq,no,BWA,ref_genome,N/S,RAxML,MaxLik,relatedness,no,NCBI,raw_reads,no
Karlsson,2014,plos_one,Globe,N/S,1955-2003,Coxiella_burnetii,N/A,bacterium_gram-,diagnostics_development_surveillance,N/A,1,yes,6,6,0,0,0,1,0,0,1,0,yes,N/S,DNA,Lucigen_MasterPureComplete,manual,Cytiva_GenomiPhi,Illumina_HiSeq,no,Bowtie2,ref_genome,Bowtie2,N/S,NeiJo,relatedness,no,NCBI,raw_reads,no
Kawasaki,2018,appl_environ_microbiol,Australia,Australia,2005-2014,Streptococcus_agalactiae,N/A,bacterium_gram+,genomic_diversity_evolution,N/A,2,yes,38,10,2,0,26,0,0,0,0,0,yes,serotyping,DNA,Qiagen_DNeasyb&t,manual,Illumina_NexteraXT,Illumina_HiSeq,no,SPAdes,de_novo,Parsnp,RAxML,MaxLik,relatedness,Gubbins,NCBI,genome_assemblies,no
Kim,2016,sci_rep,SouthKorea,N/S,2013-2015,Orthohantavirus_genus,Hantaan,virus_ssRNA,cross-domain_transmission,N/A,4,no,26,0,0,0,26,0,0,0,0,0,N/S,serology+PCR,RNA,GeneAll_HybridR,manual,Illumina_TruSeqNano,Illumina_MiSeq,no,CLCgenomics,N/S,ClustalW,MEGA,NeiJo+MaxLik,relatedness,RDP4,NCBI,consensus_sequences,no
Kim,2018,emerg_infect_dis,SouthKorea,N/S,2000-2016,Orthohantavirus_genus,Seoul,virus_ssRNA,genomic_diversity_evolution,N/A,6,no,4,0,0,0,4,0,0,0,0,0,N/S,serology+qPCR,RNA,Ambion_TRIreagent,manual,Illumina_TruSeqNano,Illumina_MiSeq,no,EDGE,N/S,MUSCLE,MEGA,MaxLik,relatedness,RDP4,NCBI,consensus_sequences,no
Kim,2020,clin_infect_dis,SouthKorea,N/S,2016-2017,Orthohantavirus_genus,Hantaan,virus_ssRNA,cross-domain_transmission,N/A,5,no,7,0,0,0,7,0,0,0,0,0,N/S,serology+qPCR,RNA,Ambion_TRIreagent,manual,Illumina_TruSeqNano,Illumina_MiSeq,no,EDGE,N/S,MUSCLE,MEGA,MaxLik,relatedness,no,NCBI,consensus_sequences,no
Kwong,2016,j_clin_microbiol,Australia,N/S,1995-2015,Listeria_monocytogenes,N/A,bacterium_gram+,diagnostics_development_surveillance,N/A,225,N/A,0,0,0,0,0,279,0,0,233,46,yes,serotyping+genotyping,DNA,Qiagen_QIAampDNAmini,manual,Illumina_NexteraXT,Illumina_MiSeq,no,Snippy,ref_genome,Snippy,SplitsTree+FastTree,NeiJo+MaxLik,relatedness,no,ENA,raw_reads,no
